social_sustainability,economic_sustainability,overall_sustainability,final_farmers_pct,mean_displacement_rate,land_appreciation_pct,final_gini,production_retention_pct,mean_volatility,regime,protection_index,regime_abm1,policy_scenario,replication
68.24851775784272,58.573477423950784,48.410997590896756,50.0,1.8916666666666668,1137.7380665982225,0.30919911210786455,48.16616215446266,0.03464937189171411,moderate,0.64,MODERATE,strong_protection,20
68.56707359154505,61.47222736388741,50.019650477716226,50.0,1.9166666666666665,1172.5308455023833,0.29289632042274705,55.433225222265136,0.03505313625093227,moderate,0.64,MODERATE,strong_protection,21
67.77713144458721,57.47868392932948,47.627907686958345,50.0,2.141666666666667,1151.1705517458058,0.3290184277706396,45.437812370121314,0.03482205093595271,moderate,0.64,MODERATE,strong_protection,22
67.20926094957449,58.57538223939548,47.89232159448498,50.0,2.2000000000000006,1130.3763295849255,0.35653695252127626,48.16612838964238,0.03455345582307394,moderate,0.64,MODERATE,strong_protection,23
69.28060095655198,60.995354481698996,50.13797771912549,50.0,1.975,1134.8166699799472,0.25634495217240083,54.21911109593213,0.03461449783369334,moderate,0.64,MODERATE,strong_protection,24
67.97715175118304,57.96333235706781,47.97024205412543,50.0,2.0083333333333337,1110.0672228478034,0.3210174124408478,46.625791556160834,0.03434921326982605,moderate,0.64,MODERATE,strong_protection,25
68.94466784002398,56.51225816697322,47.728463003498604,50.0,2.3000000000000007,1126.7637936758024,0.2682666079988012,43.006989483046084,0.034526881312260824,moderate,0.64,MODERATE,strong_protection,26
68.33038683529448,64.7367498164758,51.53356832588514,50.0,2.041666666666666,1149.7415343506325,0.3028556582352766,63.58113167745272,0.03478514272526477,moderate,0.64,MODERATE,strong_protection,27
67.57375491649782,59.838186085657725,48.70597050107777,50.0,1.9000000000000004,1109.4937129120049,0.3428122541751091,51.312295704735064,0.03433660981181563,moderate,0.64,MODERATE,strong_protection,28
68.08968930033531,58.10401383976537,48.09685157005034,50.0,2.1333333333333337,1136.1486542137532,0.31351553498323437,46.991943107031744,0.03463817015236602,moderate,0.64,MODERATE,strong_protection,29
82.05352529047377,83.63949105415693,67.84650817231535,80.0,1.0000000000000002,665.8655464359665,0.38232373547631116,80.50165527725865,0.028058552837326476,moderate,0.8700000000000001,MODERATE,maximum_protection,0
82.36277730385852,84.40426977007938,68.38352353696895,80.0,0.8,663.1685494170821,0.3698611348070737,82.41124365596903,0.028011384615411455,moderate,0.8700000000000001,MODERATE,maximum_protection,1
81.88791517103112,84.38109658754901,68.13450587929006,80.0,0.9166666666666666,682.9528388200131,0.3918542414484436,82.37055889827656,0.0283563485880813,moderate,0.8700000000000001,MODERATE,maximum_protection,2
81.49008926893687,82.86632470951093,67.1782069892239,80.0,0.8916666666666666,649.3784538504748,0.41212053655315684,78.55287376755486,0.02774123987555088,moderate,0.8700000000000001,MODERATE,maximum_protection,3
82.93916606738117,84.51592948406545,68.72754777572331,80.0,0.8666666666666666,667.2631241493245,0.3400416966309412,82.69454930503043,0.02809451189733608,moderate,0.8700000000000001,MODERATE,maximum_protection,4
82.84362337336734,82.38325244487632,67.61343790912183,80.0,0.8416666666666666,634.0172210956426,0.3451938313316334,77.33164618288349,0.027470301413854054,moderate,0.8700000000000001,MODERATE,maximum_protection,5
82.37114464196524,81.52988100809566,66.95051282503044,80.0,0.675,661.9402736304553,0.3713177679017374,75.2243273823923,0.027992497243063783,moderate,0.8700000000000001,MODERATE,maximum_protection,6
82.76527078280547,84.02931097091583,68.39729087686065,80.0,1.0,681.7891288654297,0.34673646085972654,81.49067316881471,0.028347914830502852,moderate,0.8700000000000001,MODERATE,maximum_protection,7
